ID,Year,Month,MoYr,mean_NDVI,Rain_mm,LT_mont_mean_NDVI,NDVI_anomaly,AnnSumRain,,,Yr,Total Rain,,
1,2000,2,Feb-00,0.0955385,6.4,0.10145707,-0.00591857,6.4,,,2000,36,,
2,2000,3,Mar-00,0.10179215,27.7,0.10441608,-0.00262393,34.1,,,2001,9.1,,
3,2000,4,Apr-00,0.1105019,1.6,0.10699515,0.00350675,35.7,,,2002,31,,
4,2000,5,May-00,0.106728,0,0.10584298,0.00088502,35.7,,,2003,2,,
5,2000,6,Jun-00,0.1024164,0,0.10419983,-0.00178343,35.7,,,2004,23.5,,
6,2000,7,Jul-00,0.10321945,0.2,0.10245265,0.0007668,35.9,,,2005,9.8,,
7,2000,8,Aug-00,0.0990486,0,0.10293112,-0.00388252,35.9,,,2006,99.2,,
8,2000,9,Sep-00,0.0996416,0.9,0.10273864,-0.00309704,36.8,,,2007,5.5,,
9,2000,10,Oct-00,0.0930048,0,0.0993744,-0.0063696,36.8,,,2008,83.4,,
10,2000,11,Nov-00,0.0948861,0,0.09902488,-0.00413878,36.8,,,2009,38.5,,
11,2000,12,Dec-00,0.0989079,0,0.09908074,-0.00017284,36.8,,,2010,16.1,,
12,2001,1,01-Jan,0.09739155,0,0.09937226,-0.00198071,0,,,2011,163.6,,
13,2001,2,01-Feb,0.10094775,0,0.10145707,-0.00050932,0,,,2012,75.4,,
14,2001,3,01-Mar,0.1027716,0,0.10441608,-0.00164448,0,,,2013,86.54,,
15,2001,4,01-Apr,0.10655665,9.1,0.10699515,-0.0004385,9.1,,,2014,8.9,,
16,2001,5,01-May,0.0996245,0,0.10584298,-0.00621848,9.1,,,2015,8.4,,
17,2001,6,01-Jun,0.09947955,0,0.10419983,-0.00472028,9.1,,,2016,17.9,,
18,2001,7,01-Jul,0.1000926,0,0.10245265,-0.00236005,9.1,,,2017,11.8,,
19,2001,8,01-Aug,0.09307595,0,0.10293112,-0.00985517,9.1,,,2018,58.9,,
20,2001,9,01-Sep,0.10300895,0,0.10273864,0.00027031,9.1,,,Avg,41.34421053,,
21,2001,10,01-Oct,0.1022288,0,0.0993744,0.0028544,9.1,,,Median,20.7,,
22,2001,11,01-Nov,0.10049585,0,0.09902488,0.00147097,9.1,,,se,9.837926442,,
23,2001,12,01-Dec,0.09956315,0,0.09908074,0.00048241,9.1,,,,,,
24,2002,1,02-Jan,0.1008714,4,0.09937226,0.00149914,4,,,,,,
25,2002,2,02-Feb,0.1012035,16,0.10145707,-0.00025357,20,,,,,,
26,2002,3,02-Mar,0.10307165,11,0.10441608,-0.00134443,31,,,,,,
27,2002,4,02-Apr,0.10306365,0,0.10699515,-0.0039315,31,,,,,,
28,2002,5,02-May,0.1040663,0,0.10584298,-0.00177668,31,,,,,,
29,2002,6,02-Jun,0.1028948,0,0.10419983,-0.00130503,31,,,,,,
30,2002,7,02-Jul,0.10177015,0,0.10245265,-0.0006825,31,,,,,,
31,2002,8,02-Aug,0.10673265,0,0.10293112,0.00380153,31,,,,,,
32,2002,9,02-Sep,0.1055372,0,0.10273864,0.00279856,31,,,,,,
33,2002,10,02-Oct,0.1055927,0,0.0993744,0.0062183,31,,,,,,
34,2002,11,02-Nov,0.10285705,0,0.09902488,0.00383217,31,,,,,,
35,2002,12,02-Dec,0.1032052,0,0.09908074,0.00412446,31,,,,,,
36,2003,1,03-Jan,0.10203075,0,0.09937226,0.00265849,0,,,,,,
37,2003,2,03-Feb,0.1061477,0,0.10145707,0.00469063,0,,,,,,
38,2003,3,03-Mar,0.10243635,0,0.10441608,-0.00197973,0,,,,,,
39,2003,4,03-Apr,0.0964683,2,0.10699515,-0.01052685,2,,,,,,
40,2003,5,03-May,0.09881555,0,0.10584298,-0.00702743,2,,,,,,
41,2003,6,03-Jun,0.0898613,0,0.10419983,-0.01433853,2,,,,,,
42,2003,7,03-Jul,0.0960783,0,0.10245265,-0.00637435,2,,,,,,
43,2003,8,03-Aug,0.09217065,0,0.10293112,-0.01076047,2,,,,,,
44,2003,9,03-Sep,0.10210125,0,0.10273864,-0.00063739,2,,,,,,
45,2003,10,03-Oct,0.0974421,0,0.0993744,-0.0019323,2,,,,,,
46,2003,11,03-Nov,0.0953363,0,0.09902488,-0.00368858,2,,,,,,
47,2003,12,03-Dec,0.09978075,0,0.09908074,0.00070001,2,,,,,,
48,2004,1,04-Jan,0.1005113,0,0.09937226,0.00113904,0,,,,,,
49,2004,2,04-Feb,0.10020535,0.5,0.10145707,-0.00125172,0.5,,,,,,
50,2004,3,04-Mar,0.099348,0,0.10441608,-0.00506808,0.5,,,,,,
51,2004,4,04-Apr,0.10235245,7,0.10699515,-0.0046427,7.5,,,,,,
52,2004,5,04-May,0.0953984,0,0.10584298,-0.01044458,7.5,,,,,,
53,2004,6,04-Jun,0.0955493,5,0.10419983,-0.00865053,12.5,,,,,,
54,2004,7,04-Jul,0.09547965,0,0.10245265,-0.006973,12.5,,,,,,
55,2004,8,04-Aug,0.0999643,0,0.10293112,-0.00296682,12.5,,,,,,
56,2004,9,04-Sep,0.10034685,0,0.10273864,-0.00239179,12.5,,,,,,
57,2004,10,04-Oct,0.09683195,0,0.0993744,-0.00254245,12.5,,,,,,
58,2004,11,04-Nov,0.0964342,11,0.09902488,-0.00259068,23.5,,,,,,
59,2004,12,04-Dec,0.09974,0,0.09908074,0.00065926,23.5,,,,,,
60,2005,1,05-Jan,0.09700335,0,0.09937226,-0.00236891,0,,,,,,
61,2005,2,05-Feb,0.0981235,2.7,0.10145707,-0.00333357,2.7,,,,,,
62,2005,3,05-Mar,0.0977337,7,0.10441608,-0.00668238,9.7,,,,,,
63,2005,4,05-Apr,0.10021785,0.1,0.10699515,-0.0067773,9.8,,,,,,
64,2005,5,05-May,0.09814825,0,0.10584298,-0.00769473,9.8,,,,,,
65,2005,6,05-Jun,0.09805565,0,0.10419983,-0.00614418,9.8,,,,,,
66,2005,7,05-Jul,0.09981665,0,0.10245265,-0.002636,9.8,,,,,,
67,2005,8,05-Aug,0.107019,0,0.10293112,0.00408788,9.8,,,,,,
68,2005,9,05-Sep,0.1051495,0,0.10273864,0.00241086,9.8,,,,,,
69,2005,10,05-Oct,0.0826448,0,0.0993744,-0.0167296,9.8,,,,,,
70,2005,11,05-Nov,0.09849955,0,0.09902488,-0.00052533,9.8,,,,,,
71,2005,12,05-Dec,0.0991684,0,0.09908074,8.77E-05,9.8,,,,,,
72,2006,1,06-Jan,0.09656655,12.8,0.09937226,-0.00280571,12.8,,,,,,
73,2006,2,06-Feb,0.09763885,20.9,0.10145707,-0.00381822,33.7,,,,,,
74,2006,3,06-Mar,0.103638,14.5,0.10441608,-0.00077808,48.2,,,,,,
75,2006,4,06-Apr,0.1078424,43,0.10699515,0.00084725,91.2,,,,,,
76,2006,5,06-May,0.1241693,1.1,0.10584298,0.01832632,92.3,,,,,,
77,2006,6,06-Jun,0.11417955,0,0.10419983,0.00997972,92.3,,,,,,
78,2006,7,06-Jul,0.1115409,0,0.10245265,0.00908825,92.3,,,,,,
79,2006,8,06-Aug,0.10918655,0,0.10293112,0.00625543,92.3,,,,,,
80,2006,9,06-Sep,0.10311435,0,0.10273864,0.00037571,92.3,,,,,,
81,2006,10,06-Oct,0.102047,6.9,0.0993744,0.0026726,99.2,,,,,,
82,2006,11,06-Nov,0.09696475,0,0.09902488,-0.00206013,99.2,,,,,,
83,2006,12,06-Dec,0.0972841,0,0.09908074,-0.00179664,99.2,,,,,,
84,2007,1,07-Jan,0.09660105,0,0.09937226,-0.00277121,0,,,,,,
85,2007,2,07-Feb,0.09621105,0,0.10145707,-0.00524602,0,,,,,,
86,2007,3,07-Mar,0.09778035,5.5,0.10441608,-0.00663573,5.5,,,,,,
87,2007,4,07-Apr,0.10001415,0,0.10699515,-0.006981,5.5,,,,,,
88,2007,5,07-May,0.0973503,0,0.10584298,-0.00849268,5.5,,,,,,
89,2007,6,07-Jun,0.0988508,0,0.10419983,-0.00534903,5.5,,,,,,
90,2007,7,07-Jul,0.0982164,0,0.10245265,-0.00423625,5.5,,,,,,
91,2007,8,07-Aug,0.1009574,0,0.10293112,-0.00197372,5.5,,,,,,
92,2007,9,07-Sep,0.1041377,0,0.10273864,0.00139906,5.5,,,,,,
93,2007,10,07-Oct,0.0955809,0,0.0993744,-0.0037935,5.5,,,,,,
94,2007,11,07-Nov,0.0944766,0,0.09902488,-0.00454828,5.5,,,,,,
95,2007,12,07-Dec,0.09452885,0,0.09908074,-0.00455189,5.5,,,,,,
96,2008,1,08-Jan,0.0962048,0.5,0.09937226,-0.00316746,0.5,,,,,,
97,2008,2,08-Feb,0.0963283,7,0.10145707,-0.00512877,7.5,,,,,,
98,2008,3,08-Mar,0.10579385,49.4,0.10441608,0.00137777,56.9,,,,,,
99,2008,4,08-Apr,0.1290101,24.5,0.10699515,0.02201495,81.4,,,,,,
100,2008,5,08-May,0.11729815,0,0.10584298,0.01145517,81.4,,,,,,
101,2008,6,08-Jun,0.1121661,0.5,0.10419983,0.00796627,81.9,,,,,,
102,2008,7,08-Jul,0.1092152,0,0.10245265,0.00676255,81.9,,,,,,
103,2008,8,08-Aug,0.11178975,0,0.10293112,0.00885863,81.9,,,,,,
104,2008,9,08-Sep,0.10504215,0,0.10273864,0.00230351,81.9,,,,,,
105,2008,10,08-Oct,0.1002626,0,0.0993744,0.0008882,81.9,,,,,,
106,2008,11,08-Nov,0.1000061,0,0.09902488,0.00098122,81.9,,,,,,
107,2008,12,08-Dec,0.09874695,1.5,0.09908074,-0.00033379,83.4,,,,,,
108,2009,1,09-Jan,0.0997923,0.1,0.09937226,0.00042004,0.1,,,,,,
109,2009,2,09-Feb,0.1000748,38.2,0.10145707,-0.00138227,38.3,,,,,,
110,2009,3,09-Mar,0.1107534,0,0.10441608,0.00633732,38.3,,,,,,
111,2009,4,09-Apr,0.10190165,0,0.10699515,-0.0050935,38.3,,,,,,
112,2009,5,09-May,0.1001863,0,0.10584298,-0.00565668,38.3,,,,,,
113,2009,6,09-Jun,0.09557485,0,0.10419983,-0.00862498,38.3,,,,,,
114,2009,7,09-Jul,0.09874955,0,0.10245265,-0.0037031,38.3,,,,,,
115,2009,8,09-Aug,0.10104095,0,0.10293112,-0.00189017,38.3,,,,,,
116,2009,9,09-Sep,0.1017596,0,0.10273864,-0.00097904,38.3,,,,,,
117,2009,10,09-Oct,0.1001937,0,0.0993744,0.0008193,38.3,,,,,,
118,2009,11,09-Nov,0.09681055,0.1,0.09902488,-0.00221433,38.4,,,,,,
119,2009,12,09-Dec,0.0981129,0,0.09908074,-0.00096784,38.4,,,,,,
120,2010,1,10-Jan,0.0986893,0.2,0.09937226,-0.00068296,0.2,,,,,,
121,2010,2,10-Feb,0.1009071,1.2,0.10145707,-0.00054997,1.4,,,,,,
122,2010,3,10-Mar,0.10771185,0,0.10441608,0.00329577,1.4,,,,,,
123,2010,4,10-Apr,0.10786575,1.5,0.10699515,0.0008706,2.9,,,,,,
124,2010,5,10-May,0.10764465,10,0.10584298,0.00180167,12.9,,,,,,
125,2010,6,10-Jun,0.10086175,0,0.10419983,-0.00333808,12.9,,,,,,
126,2010,7,10-Jul,0.1018251,0,0.10245265,-0.00062755,12.9,,,,,,
127,2010,8,10-Aug,0.10415625,0,0.10293112,0.00122513,12.9,,,,,,
128,2010,9,10-Sep,0.1028296,0,0.10273864,9.10E-05,12.9,,,,,,
129,2010,10,10-Oct,0.104316,0,0.0993744,0.0049416,12.9,,,,,,
130,2010,11,10-Nov,0.10103645,3,0.09902488,0.00201157,15.9,,,,,,
131,2010,12,10-Dec,0.10057535,0.2,0.09908074,0.00149461,16.1,,,,,,
132,2011,1,11-Jan,0.09669025,14.9,0.09937226,-0.00268201,14.9,,,,,,
133,2011,2,11-Feb,0.1059357,18.1,0.10145707,0.00447863,33,,,,,,
134,2011,3,11-Mar,0.1147237,64.6,0.10441608,0.01030762,97.6,,,,,,
135,2011,4,11-Apr,0.13281575,21,0.10699515,0.0258206,118.6,,,,,,
136,2011,5,11-May,0.1375283,45,0.10584298,0.03168532,163.6,,,,,,
137,2011,6,11-Jun,0.1480303,0,0.10419983,0.04383047,163.6,,,,,,
138,2011,7,11-Jul,0.12694015,0,0.10245265,0.0244875,163.6,,,,,,
139,2011,8,11-Aug,0.1142368,0,0.10293112,0.01130568,163.6,,,,,,
140,2011,9,11-Sep,0.1151653,0,0.10273864,0.01242666,163.6,,,,,,
141,2011,10,11-Oct,0.1077473,0,0.0993744,0.0083729,163.6,,,,,,
142,2011,11,11-Nov,0.10364715,0,0.09902488,0.00462227,163.6,,,,,,
143,2011,12,11-Dec,0.10324095,0,0.09908074,0.00416021,163.6,,,,,,
144,2012,1,12-Jan,0.10597785,0,0.09937226,0.00660559,0,,,,,,
145,2012,2,12-Feb,0.1079246,1.6,0.10145707,0.00646753,1.6,,,,,,
146,2012,3,12-Mar,0.1065869,73.6,0.10441608,0.00217082,75.2,,,,,,
147,2012,4,12-Apr,0.1034543,0.1,0.10699515,-0.00354085,75.3,,,,,,
148,2012,5,12-May,0.10142395,0,0.10584298,-0.00441903,75.3,,,,,,
149,2012,6,12-Jun,0.1007832,0,0.10419983,-0.00341663,75.3,,,,,,
150,2012,7,12-Jul,0.1009301,0,0.10245265,-0.00152255,75.3,,,,,,
151,2012,8,12-Aug,0.1052388,0,0.10293112,0.00230768,75.3,,,,,,
152,2012,9,12-Sep,0.0999858,0,0.10273864,-0.00275284,75.3,,,,,,
153,2012,10,12-Oct,0.09713575,0,0.0993744,-0.00223865,75.3,,,,,,
154,2012,11,12-Nov,0.0978025,0,0.09902488,-0.00122238,75.3,,,,,,
155,2012,12,12-Dec,0.0965962,0.1,0.09908074,-0.00248454,75.4,,,,,,
156,2013,1,13-Jan,0.09628605,0,0.09937226,-0.00308621,0,,,,,,
157,2013,2,13-Feb,0.10120805,0,0.10145707,-0.00024902,0,,,,,,
158,2013,3,13-Mar,0.10355435,36.25,0.10441608,-0.00086173,36.25,,,,,,
159,2013,4,13-Apr,0.10863685,0,0.10699515,0.0016417,36.25,,,,,,
160,2013,5,13-May,0.10872165,0,0.10584298,0.00287867,36.25,,,,,,
161,2013,6,13-Jun,0.1047425,0,0.10419983,0.00054267,36.25,,,,,,
162,2013,7,13-Jul,0.1044766,25,0.10245265,0.00202395,61.25,,,,,,
163,2013,8,13-Aug,0.10354355,0,0.10293112,0.00061243,61.25,,,,,,
164,2013,9,13-Sep,0.1046005,20.8,0.10273864,0.00186186,82.05,,,,,,
165,2013,10,13-Oct,0.1068105,0,0.0993744,0.0074361,82.05,,,,,,
166,2013,11,13-Nov,0.10647555,0,0.09902488,0.00745067,82.05,,,,,,
167,2013,12,13-Dec,0.09925055,4.4,0.09908074,0.00016981,86.45,,,,,,
168,2014,1,14-Jan,0.10327925,0.2,0.09937226,0.00390699,0.2,,,,,,
169,2014,2,14-Feb,0.1058816,0,0.10145707,0.00442453,0.2,,,,,,
170,2014,3,14-Mar,0.11027425,0,0.10441608,0.00585817,0.2,,,,,,
171,2014,4,14-Apr,0.10501465,0,0.10699515,-0.0019805,0.2,,,,,,
172,2014,5,14-May,0.10658265,0,0.10584298,0.00073967,0.2,,,,,,
173,2014,6,14-Jun,0.1019993,0,0.10419983,-0.00220053,0.2,,,,,,
174,2014,7,14-Jul,0.0940433,0,0.10245265,-0.00840935,0.2,,,,,,
175,2014,8,14-Aug,0.0986791,0,0.10293112,-0.00425202,0.2,,,,,,
176,2014,9,14-Sep,0.0971786,0,0.10273864,-0.00556004,0.2,,,,,,
177,2014,10,14-Oct,0.0959249,0,0.0993744,-0.0034495,0.2,,,,,,
178,2014,11,14-Nov,0.1026035,8.6,0.09902488,0.00357862,8.8,,,,,,
179,2014,12,14-Dec,0.0983233,0.1,0.09908074,-0.00075744,8.9,,,,,,
180,2015,1,15-Jan,0.0989895,6,0.09937226,-0.00038276,6,,,,,,
181,2015,2,15-Feb,0.1059669,0,0.10145707,0.00450983,6,,,,,,
182,2015,3,15-Mar,0.10513195,0.9,0.10441608,0.00071587,6.9,,,,,,
183,2015,4,15-Apr,0.10098185,0,0.10699515,-0.0060133,6.9,,,,,,
184,2015,5,15-May,0.097817,0,0.10584298,-0.00802598,6.9,,,,,,
185,2015,6,15-Jun,0.09944865,0,0.10419983,-0.00475118,6.9,,,,,,
186,2015,7,15-Jul,0.10182355,0,0.10245265,-0.0006291,6.9,,,,,,
187,2015,8,15-Aug,0.1057134,0.1,0.10293112,0.00278228,7,,,,,,
188,2015,9,15-Sep,0.1033202,0,0.10273864,0.00058156,7,,,,,,
189,2015,10,15-Oct,0.0970697,0,0.0993744,-0.0023047,7,,,,,,
190,2015,11,15-Nov,0.09410165,1.3,0.09902488,-0.00492323,8.3,,,,,,
191,2015,12,15-Dec,0.095524,0.1,0.09908074,-0.00355674,8.4,,,,,,
192,2016,1,16-Jan,0.09737265,0.2,0.09937226,-0.00199961,0.2,,,,,,
193,2016,2,16-Feb,0.10234975,0.1,0.10145707,0.00089268,0.3,,,,,,
194,2016,3,16-Mar,0.1025616,0,0.10441608,-0.00185448,0.3,,,,,,
195,2016,4,16-Apr,0.10182355,0,0.10699515,-0.0051716,0.3,,,,,,
196,2016,5,16-May,0.09797245,0,0.10584298,-0.00787053,0.3,,,,,,
197,2016,6,16-Jun,0.09524155,12.7,0.10419983,-0.00895828,13,,,,,,
198,2016,7,16-Jul,0.09526535,0,0.10245265,-0.0071873,13,,,,,,
199,2016,8,16-Aug,0.09772295,0,0.10293112,-0.00520817,13,,,,,,
200,2016,9,16-Sep,0.0976883,0,0.10273864,-0.00505034,13,,,,,,
201,2016,10,16-Oct,0.1010396,0,0.0993744,0.0016652,13,,,,,,
202,2016,11,16-Nov,0.0997209,4.9,0.09902488,0.00069602,17.9,,,,,,
203,2016,12,16-Dec,0.10046145,0,0.09908074,0.00138071,17.9,,,,,,
204,2017,1,17-Jan,0.10292955,0,0.09937226,0.00355729,0,,,,,,
205,2017,2,17-Feb,0.1011752,1.1,0.10145707,-0.00028187,1.1,,,,,,
206,2017,3,17-Mar,0.10546685,7.9,0.10441608,0.00105077,9,,,,,,
207,2017,4,17-Apr,0.10218115,0,0.10699515,-0.004814,9,,,,,,
208,2017,5,17-May,0.09456035,0,0.10584298,-0.01128263,9,,,,,,
209,2017,6,17-Jun,0.0945041,0,0.10419983,-0.00969573,9,,,,,,
210,2017,7,17-Jul,0.0949939,0,0.10245265,-0.00745875,9,,,,,,
211,2017,8,17-Aug,0.09564855,0,0.10293112,-0.00728257,9,,,,,,
212,2017,9,17-Sep,0.0968056,0,0.10273864,-0.00593304,9,,,,,,
213,2017,10,17-Oct,0.0986547,0.3,0.0993744,-0.0007197,9.3,,,,,,
214,2017,11,17-Nov,0.0992715,2.5,0.09902488,0.00024662,11.8,,,,,,
215,2017,12,17-Dec,0.09983455,0,0.09908074,0.00075381,11.8,,,,,,
216,2018,1,18-Jan,0.10151315,0,0.09937226,0.00214089,0,,,,,,
217,2018,2,18-Feb,0.10391615,0,0.10145707,0.00245908,0,,,,,,
218,2018,3,18-Mar,0.10277495,0.5,0.10441608,-0.00164113,0.5,,,,,,
219,2018,4,18-Apr,0.1122049,27.7,0.10699515,0.00520975,28.2,,,,,,
220,2018,5,18-May,0.11698065,22.1,0.10584298,0.01113767,50.3,,,,,,
221,2018,6,18-Jun,0.1251571,0,0.10419983,0.02095727,50.3,,,,,,
222,2018,7,18-Jul,0.11212345,0.1,0.10245265,0.0096708,50.4,,,,,,
223,2018,8,18-Aug,0.10976615,0,0.10293112,0.00683503,50.4,,,,,,
224,2018,9,18-Sep,0.10462115,0,0.10273864,0.00188251,50.4,,,,,,
225,2018,10,18-Oct,0.1035858,8.5,0.0993744,0.0042114,58.9,,,,,,
226,2018,11,18-Nov,0.1000464,0,0.09902488,0.00102152,58.9,,,,,,
227,2018,12,18-Dec,0.09968955,0,0.09908074,0.00060881,58.9,,,,,,